title
"Стоимость активов ""Дом.РФ"" впервые превысила отметку 3 трлн рублей"
В Ижевске начали строить новый терминал аэропорта
Собянин перечислил самые необычные станции московского метро
"Высоту домов в районах с ""хрущевками"" определили в Петербурге"
Продажи новостроек в Москве в 2022 году упали на 14%
Более 20 километров новых тротуаров построят в Подмосковье до конца года
Москомархитектура утвердила облик бизнес-центра на западе Москвы
"Около 3 млрд руб ""единой субсидии"" хотят выделить на соцобъекты в Арктике"
"Хуснуллин оценил градпотенциал в России в 400 миллионов ""квадратов"" жилья"
Губернатор Подмосковья приглашает специалистов по строительству отелей
Патриарх выделил 126 млн рублей на строительство храма в Москве
Мишустин: в РФ нужно активно создавать современную гостиничную систему
"В Мариуполе обследовано более 1,4 тысячи объектов"
"На станции метро ""Пыхтино"" появятся конструкции в виде турбин самолетов"
Госдума в I чтении приняла проект о бесплатной земле под ИЖС для рабочих
"Московские застройщики назвали админпроцедуры, требующие оптимизации"
"""Большой академический"" храм в Москве достроят в сентябре"
"""Эталон"" построит кампус Евразийского научно-образовательного центра в Уфе"
"В новой Москве сдали последний дом проблемного ЖК ""Андерсен"""
Хуснуллин заявил о необходимость запуска проектов ИЖС в Мариуполе
Участниками СЭЗ в новых регионах стали 25 компаний
Строители Оренбуржья продолжают восстанавливать жилье в ЛНР
Строительство моста через Обь планируется завершить в конце 2024 года
Хуснуллин: российскую стройотрасль в сентябре ждет упрощение админпроцедур
"В новых регионах России построят около 4 млн ""квадратов"" жилья до 2030 года"
Хуснуллин: в России выявлено 130 тысяч гектаров земли под жилую застройку
"Депутат Госдумы рассказал, чего не хватает российским туристам"
"Девелопер ""Пионер"" сократил чистую прибыль почти в 12 раз"
Строительство зданий на курортах будут подвергать экологической экспертизе
Торги по реорганизации промзоны в Москве приостановили из-за жалобы в ФАС
Tekta Group построит высотный жилой комплекс на юге Москвы
В Самарской области ищут место для транспортно-логистического хаба
Единый заказчик в 2022 году завершил строительство 18 объектов
Рядом с аэропортом Внуково построят складской комплекс
Передай другому: зачем застройщикам мигрировать из одного банка в другой
Минстрой: около трети восстанавливающих новые регионы РФ - местные жители
В Балашихе построят новую многопрофильную клинику
На востоке Москвы строят три дома в рамках реновации
Готовность основных конструкций Национального космического центра - 90%
Оптимизацию движения провели в 166 местах Подмосковья
Под Воронежем планируют построить город-спутник
"ВЦИОМ выяснил, что мешает стройкам в Москве"
"""Инград"" завершил строительство жилого комплекса на Нагорной в Москве"
На месте проходной ЗИЛа построят торговый центр
Мишустин: важно закончить по графику строительство медцентра в Мариуполе
Производителям готовых деревянных домов хотят предоставить субсидии
Установлен порядок аттестации контролеров строек в новых регионах
"Структура Vi Holding застроит территорию завода ""Кристалл"" в Лефортове"
У девелоперской компании Брынцалова появится еще один проект в Москве
Собянин: Цветной бульвар в Москве ждет благоустройство
"Альфа-банк предоставит ""Пионеру"" 21 млрд рублей на проект на юге Москвы"
В Киргизии заложена капсула под строительство самого высокого здания страны
Дорожное кольцо вокруг Азовского моря сформируют за пять лет
Петербург получит инфраструктурный кредит на строительство метро
"Структура казанской группы ""Руал"" получила участок в новой Москве"
"Реорганизацией промзоны ""Калибр"" в Москве займется городской оператор"
Cотни тысяч рабочих мест вне центра Москвы появятся в ближайшее десятилетие
ГД во II чтении упрощает стройку торговых точек в садовых товариществах
"ВЭБ и ""Сбер"" профинансировали строительство 12 школ"
"Определен подрядчик для достройки ""Троицкой Ривьеры"" в новой Москве"
"Чиновнику, по чьей вине пострадала тысяча дольщиков, дали условный срок"
ВТБ профинансирует строительство ЖК в Петропавловске-Камчатском
Завод импортозамещающей продукции построят в Подмосковье
Липецкие стройпроизводители расширяют сотрудничество с Азербайджаном
Калининградский онкоцентр примет первых пациентов весной 2023 года
Проект о льготе по НДФЛ при банкротстве застройщика готов ко II чтению
В Чувашии достроили шесть проблемных домов
Бочкарев: технологии инфомоделирования ускорят программу реновации в Москве
Примерно 1 трлн руб планируют вложить в создание 10 яхтенных марин в Сочи
"Банк ""Дом.РФ"" кредитует жилой проект в Томске"
За два года в Краснодаре планируют простроить крупнейший на юге аэропорт
В Ульяновской области построят социально значимые объекты
"Бюджет развития Москвы в 2023 году составит почти 1,7 триллиона рублей"
"Хуснуллин: надеемся сохранить планку по вводу 100 млн ""квадратов"" жилья"
Хуснуллин: в РФ сдали 101 долгострой с применением федеральных механизмов
У проекта жилого комплекса на западе Москвы сменился владелец
Казахстан лидирует среди стран бывшего СССР по перспективам стройки жилья
Южный участок МСД улучшит обслуживание жителей 22 районов Москвы
В Ивановской области в этом году закроют вопрос с обманутыми дольщиками
Мишустин: строительство в зоне спецоперации не должно останавливаться
Архсовет Москвы одобрил проект 150-метровой офисной башни на Ленинградке
Строительство ИТ-кампуса стартовало в Нижнем Новгороде
Власти Москвы разрешили построить высотку в Нагатинской пойме
В подмосковном Лосино-Петровском округе построят поликлинику
В Москве в новые квартиры по реновации начали переезжать 20 тысяч человек
В Кремле отреагировали на публикацию WP о тоннеле под Крымским мостом
Хуснуллин: власти РФ в 2023 году более активно займутся вопросами ЖКХ
В Москве будут строить меньше домов с яркими цветовыми акцентами
Участок промзоны Красный Строитель в Москве ждет комплексное развитие
Продажи новостроек в США в августе снизились
"""Самолет"" вложит в девелоперские проекты в Ленобласти более 300 млрд рублей"
"""А101"": интерес инвесторов смещается с центра Петербурга на Ленобласть"
"Дорогу М-5 ""Урал"" в Подмосковье хотят достроить раньше срока"
Кабмин рассмотрит вопрос строительства промышленных объектов за рубежом
На площади Европы в Москве снесли незаконное летнее кафе
Новый корпус гимназии имени Примакова будет готов к сентябрю
Власти Москвы рассказали о цифровизации строительной отрасли
В Германии рекордные 40% стройкомпаний пожаловались на отсутствие заказов
Госдума приняла во II чтении проект о преференциях для застройщиков в Крыму
Прокуроры Приморья подали иски на разрыв сомнительных концессий по школам
В строительство дорог будут привлекать внебюджетное финансирование
В России построят 20 пансионатов для пожилых и ветеранов в 2024 году
"""Галс-Девелопмент"" начал заливку фундамента в доме в центре Москвы"
